Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	84209473	26740.0	1026646.0	56.0	81244260.0	37227.0	1938567.0	1941.0	251655.0	3068.0	1016882505.0	3038891.0	334622917.0	North America	2022-05-14
India	43121599	2487.0	524214.0	13.0	42579693.0	2878.0	17692.0	698.0	30685.0	373.0	842944795.0	599828.0	1405310074.0	Asia	2022-05-14
Brazil	30682094	17355.0	664920.0	90.0	29718402.0	6664.0	298772.0	8318.0	142457.0	3087.0	63776166.0	296113.0	215377625.0	South America	2022-05-14
France	29160802	30459.0	147257.0		28156674.0	58856.0	856871.0	1329.0	444912.0	2247.0	271490188.0	4142176.0	65542896.0	Europe	2022-05-14
Germany	25774509	40929.0	137907.0	98.0	23925400.0	49700.0	1711202.0	1279.0	305807.0	1636.0	122332384.0	1451437.0	84283610.0	Europe	2022-05-14
UK	22159805		176708.0		21657770.0		325327.0	253.0	323259.0	2578.0	519264096.0	7574843.0	68551138.0	Europe	2022-05-14
Russia	18255337	5047.0	377571.0	107.0	17640979.0	7378.0	236787.0	2300.0	124993.0	2585.0	273400000.0	1871947.0	146051167.0	Europe	2022-05-14
S. Korea	17756627	29541.0	23661.0	55.0	16986204.0	80246.0	746762.0	341.0	345786.0	461.0	15804065.0	307763.0	51351476.0	Asia	2022-05-14
Italy	17030711	36606.0	165182.0	91.0	15864177.0	43318.0	1001352.0	340.0	282452.0	2740.0	217659090.0	3609842.0	60296023.0	Europe	2022-05-14
Turkey	15053168	1407.0	98890.0	5.0	14951238.0	1645.0	3040.0	975.0	174972.0	1149.0	160622710.0	1867017.0	86031729.0	Asia	2022-05-14
Spain	12127122		105444.0		11548089.0		473589.0	339.0	259190.0	2254.0	471036328.0	10067341.0	46788553.0	Europe	2022-05-14
Vietnam	10695036	1895.0	43065.0	2.0	9349592.0	5563.0	1302379.0	340.0	108061.0	435.0	85810502.0	867017.0	98972112.0	Asia	2022-05-14
Argentina	9131693	4453.0	128770.0	6.0	8895999.0		106924.0	372.0	198648.0	2801.0	35716069.0	776955.0	45969306.0	South America	2022-05-14
Japan	8299584	39228.0	30005.0	31.0	7924786.0	33849.0	344793.0	159.0	65998.0	239.0	50331407.0	400236.0	125754434.0	Asia	2022-05-14
Netherlands	8067116		22292.0		7984457.0		60367.0	55.0	468866.0	1296.0	21107399.0	1226776.0	17205584.0	Europe	2022-05-14
Iran	7227683	255.0	141216.0	7.0	7018868.0	2191.0	67599.0	751.0	84045.0	1642.0	51733191.0	601562.0	85998032.0	Asia	2022-05-14
Australia	6551624	49985.0	7773.0	52.0	6152184.0	30265.0	391667.0	122.0	251485.0	298.0	70825186.0	2718639.0	26051707.0	Australia/Oceania	2022-05-14
Colombia	6095316		139821.0		5928829.0		26666.0	342.0	117456.0	2694.0	34675581.0	668195.0	51894431.0	South America	2022-05-14
Indonesia	6050519	308.0	156453.0	5.0	5889241.0	416.0	4825.0	2771.0	21693.0	561.0	97245391.0	348652.0	278918214.0	Asia	2022-05-14
