"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date,Tests/1M pop ,"Country	""Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious""	""Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent"""
USA,82383494.0,26881.0,1015821.0,109.0,80244093.0,41383.0,1123580.0,1438.0,246299.0,3037.0,996639125.0,2979620.0,334485290.0,North America,2022-04-18,,
India,43045527.0,1247.0,521996.0,31.0,42511701.0,928.0,11830.0,698.0,30652.0,372.0,832104846.0,592521.0,1404347026.0,Asia,2022-04-18,,
Brazil,30261088.0,8470.0,662076.0,65.0,29262483.0,35432.0,336529.0,8318.0,140572.0,3076.0,63776166.0,296261.0,215270453.0,South America,2022-04-18,,
France,27790834.0,19810.0,144205.0,48.0,25132351.0,217445.0,2514278.0,1541.0,424076.0,2201.0,260504402.0,3975184.0,65532665.0,Europe,2022-04-18,,
Germany,23457596.0,19303.0,133437.0,8.0,20085800.0,205500.0,3238359.0,1980.0,278380.0,1584.0,122332384.0,1451764.0,84264628.0,Europe,2022-04-18,,
UK,21845098.0,18846.0,171781.0,97.0,20306336.0,109212.0,1366981.0,355.0,318786.0,2507.0,512140269.0,7473679.0,68525857.0,Europe,2022-04-18,,
Russia,18084151.0,9434.0,373713.0,213.0,17390465.0,14324.0,319973.0,2300.0,123824.0,2559.0,273400000.0,1872003.0,146046737.0,Europe,2022-04-18,,
S. Korea,16353495.0,47743.0,21224.0,132.0,,,,850.0,318481.0,413.0,15804065.0,307781.0,51348351.0,Asia,2022-04-18,,
Italy,15730788.0,18492.0,161766.0,79.0,14352067.0,27704.0,1216955.0,411.0,260865.0,2683.0,209276026.0,3470448.0,60302314.0,Europe,2022-04-18,,
Turkey,14999479.0,4542.0,98587.0,19.0,14763876.0,15624.0,137016.0,975.0,174479.0,1147.0,157348707.0,1830332.0,85967295.0,Asia,2022-04-18,,
Spain,11726222.0,10668.0,103656.0,65.0,11206990.0,14381.0,415576.0,368.0,250628.0,2215.0,471036328.0,10067617.0,46787271.0,Europe,2022-04-18,,
Vietnam,10475819.0,12012.0,42957.0,13.0,8941064.0,4218.0,1491798.0,1008.0,105913.0,434.0,85703689.0,866482.0,98909959.0,Asia,2022-04-18,,
Argentina,9060923.0,,128344.0,,8895999.0,,36580.0,412.0,197234.0,2794.0,35716069.0,777452.0,45939873.0,South America,2022-04-18,,
Netherlands,8023984.0,2075.0,22163.0,7.0,7412962.0,54216.0,588859.0,113.0,466432.0,1288.0,21107399.0,1226968.0,17202898.0,Europe,2022-04-18,,
Japan,7374251.0,39899.0,29023.0,31.0,6829906.0,44328.0,515322.0,222.0,58627.0,231.0,45700624.0,363333.0,125781818.0,Asia,2022-04-18,,
Iran,7208968.0,2009.0,140854.0,25.0,6948946.0,3102.0,119168.0,1307.0,83902.0,1639.0,50079995.0,582856.0,85921663.0,Asia,2022-04-18,,
Colombia,6089791.0,129.0,139751.0,2.0,5923287.0,220.0,26753.0,342.0,117437.0,2695.0,34265772.0,660788.0,51855927.0,South America,2022-04-18,,
Indonesia,6040432.0,559.0,155903.0,37.0,5833560.0,7831.0,50969.0,2771.0,21673.0,559.0,94216598.0,338042.0,278712873.0,Asia,2022-04-18,,
Poland,5985514.0,263.0,115838.0,,5334113.0,22.0,535563.0,268.0,158463.0,3067.0,35948483.0,951717.0,37772240.0,Europe,2022-04-18,,
Mexico,5727668.0,1000.0,323944.0,6.0,5028436.0,683.0,375288.0,4798.0,43602.0,2466.0,15714867.0,119629.0,131363136.0,North America,2022-04-18,,
Australia,5419380.0,34270.0,6786.0,9.0,5017584.0,48476.0,395010.0,138.0,208192.0,261.0,68335670.0,2625196.0,26030697.0,Australia/Oceania,2022-04-18,,
Ukraine,4993164.0,304.0,108256.0,3.0,,,,177.0,115416.0,2502.0,19521252.0,451229.0,43262405.0,Europe,2022-04-18,,
Malaysia,4396165.0,7140.0,35437.0,16.0,4264127.0,14423.0,96601.0,110.0,132775.0,1070.0,57994524.0,1751573.0,33109959.0,Asia,2022-04-18,,
Austria,4059444.0,6227.0,16431.0,11.0,3918429.0,14139.0,124584.0,154.0,446161.0,1806.0,180657934.0,19855571.0,9098602.0,Europe,2022-04-18,,
Thailand,4046953.0,16994.0,27009.0,124.0,3814433.0,25910.0,205511.0,1496.0,57719.0,385.0,17270775.0,246323.0,70114236.0,Asia,2022-04-18,,
Israel,4036684.0,4923.0,10647.0,17.0,3941841.0,,84196.0,220.0,432842.0,1142.0,41373364.0,4436346.0,9326000.0,Asia,2022-04-18,,
Belgium,3972963.0,,31165.0,,3664894.0,12275.0,276904.0,181.0,340147.0,2668.0,33313880.0,2852185.0,11680124.0,Europe,2022-04-18,,
Czechia,3882400.0,750.0,39993.0,6.0,3817882.0,4517.0,24525.0,47.0,361334.0,3722.0,55024950.0,5121159.0,10744628.0,Europe,2022-04-18,,
South Africa,3742107.0,877.0,100181.0,34.0,3627969.0,375.0,13957.0,175.0,61700.0,1652.0,24198159.0,398979.0,60650219.0,Africa,2022-04-18,,
Portugal,3719485.0,,21993.0,,,,,61.0,366691.0,2168.0,40748372.0,4017243.0,10143368.0,Europe,2022-04-18,,
Philippines,3683209.0,168.0,59976.0,7.0,3603312.0,1277.0,19921.0,289.0,32828.0,535.0,29286749.0,261028.0,112197634.0,Asia,2022-04-18,,
Canada,3637710.0,5392.0,38319.0,8.0,3378726.0,5182.0,220665.0,407.0,94890.0,1000.0,60149136.0,1569003.0,38335885.0,North America,2022-04-18,,
Switzerland,3578130.0,1783.0,13810.0,,3253709.0,26917.0,310611.0,103.0,408081.0,1575.0,20548491.0,2343529.0,8768183.0,Europe,2022-04-18,,
Peru,3556384.0,645.0,212654.0,24.0,,,,371.0,105231.0,6292.0,29447514.0,871336.0,33795829.0,South America,2022-04-18,,
Chile,3531529.0,1271.0,57270.0,7.0,3325243.0,13150.0,149016.0,346.0,181938.0,2950.0,36471164.0,1878929.0,19410616.0,South America,2022-04-18,,
Greece,3242037.0,3868.0,28652.0,64.0,3098268.0,12214.0,115117.0,307.0,313795.0,2773.0,77990894.0,7548687.0,10331716.0,Europe,2022-04-18,,
Denmark,2950549.0,1142.0,6008.0,11.0,2913431.0,,31110.0,16.0,506202.0,1031.0,127063375.0,21799234.0,5828800.0,Europe,2022-04-18,,
Romania,2882590.0,686.0,65347.0,4.0,2606660.0,,210583.0,235.0,151656.0,3438.0,22487809.0,1183104.0,19007469.0,Europe,2022-04-18,,
Sweden,2495996.0,,18572.0,,2458422.0,1329.0,19002.0,24.0,244412.0,1819.0,18471631.0,1808771.0,10212255.0,Europe,2022-04-18,,
Iraq,2323284.0,152.0,25198.0,,2293427.0,624.0,4659.0,36.0,55526.0,602.0,18429771.0,440470.0,41841178.0,Asia,2022-04-18,,
Serbia,1996868.0,882.0,15933.0,6.0,1960640.0,1911.0,20295.0,20.0,230207.0,1837.0,9383655.0,1081785.0,8674230.0,Europe,2022-04-18,,
Bangladesh,1952362.0,36.0,29126.0,2.0,1891197.0,355.0,32039.0,1283.0,11647.0,174.0,13930855.0,83103.0,167633174.0,Asia,2022-04-18,,
Hungary,1879480.0,,45865.0,,1748707.0,,84908.0,50.0,195446.0,4769.0,11244573.0,1169319.0,9616342.0,Europe,2022-04-18,,
Slovakia,1765258.0,1263.0,19759.0,18.0,1707211.0,1445.0,38288.0,109.0,323048.0,3616.0,7020304.0,1284738.0,5464387.0,Europe,2022-04-18,,
Jordan,1694216.0,,14048.0,,1678941.0,,1227.0,124.0,163143.0,1353.0,16670254.0,1605245.0,10384866.0,Asia,2022-04-18,,
Georgia,1653118.0,74.0,16793.0,1.0,1634313.0,357.0,2012.0,,415834.0,4224.0,16706619.0,4202469.0,3975429.0,Asia,2022-04-18,,
Pakistan,1527326.0,78.0,30364.0,1.0,1493662.0,56.0,3300.0,209.0,6682.0,133.0,27926021.0,122169.0,228585333.0,Asia,2022-04-18,,
Ireland,1504790.0,1668.0,6932.0,,1374154.0,4787.0,123704.0,48.0,298763.0,1376.0,11971043.0,2376743.0,5036743.0,Europe,2022-04-18,,
