Unnamed: 0	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
0	USA	85113962		1029121.0		81701524.0		2383317.0	2278.0	254326.0	3075.0	1022513255.0	3055331.0	334665263.0	North America,,
1	India	43140068		524490.0		42600737.0		14841.0	698.0	30691.0	373.0	847092226.0	602653.0	1405606396.0	Asia,,
2	Brazil	30803995		665727.0		29851917.0		286351.0	8318.0	143001.0	3091.0	63776166.0	296068.0	215410601.0	South America,,
3	France	29359336		147917.0		28609848.0		601571.0	1173.0	447919.0	2257.0	271490188.0	4141977.0	65546044.0	Europe,,
4	Germany	26103628		138738.0		24832300.0	123700.0	1132590.0	944.0	309690.0	1646.0	122332384.0	1451337.0	84289451.0	Europe,,
5	UK	22238715		177977.0		21850869.0	14553.0	209869.0	188.0	324374.0	2596.0	522526476.0	7621568.0	68558917.0	Europe,,
6	Russia	18297608		378426.0		17694020.0		225162.0	2300.0	125281.0	2591.0	273400000.0	1871929.0	146052530.0	Europe,,
7	S. Korea	17993985	26313.0	24006.0	19.0	17440795.0	26692.0	529184.0	232.0	350402.0	467.0	15804065.0	307757.0	51352437.0	Asia,,
8	Italy	17257573		166032.0		16258494.0		833047.0	291.0	286223.0	2754.0	219525905.0	3640919.0	60294088.0	Europe,,
9	Turkey	15063203		98929.0		14961011.0		3263.0	975.0	175049.0	1150.0	161664811.0	1878697.0	86051554.0	Asia,,
10	Spain	12238073		105947.0		11620275.0		511851.0	339.0	261559.0	2264.0	471036328.0	10067256.0	46788947.0	Europe,,
11	Vietnam	10710066		43076.0		9405908.0		1261082.0	216.0	108192.0	435.0	85814565.0	866891.0	98991236.0	Asia,,
12	Argentina	9178795		128825.0		8895999.0		153971.0	300.0	199633.0	2802.0	35716069.0	776802.0	45978362.0	South America,,
13	Japan	8641599	22916.0	30337.0	30.0	8278412.0	35149.0	332850.0	100.0	68723.0	241.0	51636619.0	410642.0	125746009.0	Asia,,
14	Netherlands	8077873		22307.0		8015332.0		40234.0	36.0	469469.0	1296.0	21107399.0	1226717.0	17206410.0	Europe,,
15	Iran	7230321		141281.0		7035798.0		53242.0	649.0	84052.0	1642.0	52031785.0	604869.0	86021530.0	Asia,,
16	Australia	7010248	27244.0	8158.0	49.0	6563517.0		438573.0	116.0	269023.0	313.0	71330175.0	2737344.0	26058172.0	Australia/Oceania,,
17	Colombia	6099111		139833.0		5930545.0		28733.0	342.0	117502.0	2694.0	34792844.0	670301.0	51906279.0	South America,,
18	Indonesia	6052764		156534.0		5893340.0		2890.0	2771.0	21696.0	561.0	98171807.0	351894.0	278981396.0	Asia,,
19	Poland	6005596		116268.0		5335262.0		554066.0	981.0	159011.0	3078.0	36286936.0	960775.0	37768404.0	Europe,,
20	Mexico	5759773	1176.0	324768.0	3.0	5054809.0	1315.0	380196.0	4798.0	43804.0	2470.0	15950212.0	121305.0	131488897.0	North America,,
21	Ukraine	5011433		108538.0					177.0	115903.0	2510.0	19521252.0	451482.0	43238126.0	Europe,,
22	Malaysia	4492864		35645.0		4432071.0		25148.0	39.0	135538.0	1075.0	59607632.0	1798201.0	33148481.0	Asia,,
23	Thailand	4419737	4144.0	29814.0	36.0	4342047.0	7235.0	47876.0	1496.0	63022.0	425.0	17270775.0	246266.0	70130461.0	Asia,,
24	Austria	4235183		18599.0		4173311.0		43273.0	52.0	465233.0	2043.0	186421071.0	20478255.0	9103367.0	Europe,,
25	Belgium	4134293		31675.0		3997240.0	6360.0	105378.0	105.0	353818.0	2711.0	33947485.0	2905269.0	11684799.0	Europe,,
26	Israel	4123806		10833.0		4098862.0		14111.0	150.0	442184.0	1162.0	41373364.0	4436346.0	9326000.0	Asia,,
27	Portugal	4066674		22583.0					61.0	401028.0	2227.0	42298739.0	4171219.0	10140618.0	Europe,,
28	South Africa	3931534		100952.0		3739543.0		91039.0	192.0	64749.0	1663.0	25081137.0	413064.0	60719678.0	Africa,,
29	Czechia	3918127		40266.0		3876254.0		1607.0	6.0	364597.0	3747.0	55366573.0	5152072.0	10746468.0	Europe,,
30	Canada	3846998		40679.0		3516903.0		289416.0	370.0	100269.0	1060.0	61679093.0	1607625.0	38366593.0	North America,,
31	Philippines	3689132		60455.0		3626406.0		2271.0	480.0	32841.0	538.0	30029881.0	267329.0	112333137.0	Asia,,
32	Chile	3647361		57810.0		3486653.0		102898.0	136.0	187758.0	2976.0	38123516.0	1962515.0	19425842.0	South America,,
33	Switzerland	3642604		13934.0		3582765.0	3147.0	45905.0	71.0	415156.0	1588.0	20991820.0	2392488.0	8774054.0	Europe,,
34	Peru	3576042		213106.0					189.0	105680.0	6298.0	30448621.0	899822.0	33838508.0	South America,,
35	Greece	3422233		29711.0		3346122.0		46400.0	151.0	331387.0	2877.0	81883919.0	7929103.0	10327009.0	Europe,,
36	Denmark	2979238		6312.0		2966417.0	543.0	6509.0	11.0	510958.0	1083.0	127377418.0	21846028.0	5830690.0	Europe,,
37	DPRK	2948900	134520.0	68.0		2548590.0	213680.0	400242.0		113454.0	3.0			25991994.0	Asia,,
38	Romania	2906285		65654.0					101.0	152998.0	3456.0	23065296.0	1214243.0	18995613.0	Europe,,
39	Sweden	2506607		18908.0		2480696.0	213.0	7003.0	7.0	245311.0	1850.0	18573144.0	1817672.0	10218095.0	Europe,,
40	Iraq	2327387		25218.0		2301061.0		1108.0	10.0	55513.0	601.0	18561155.0	442720.0	41925228.0	Asia,,
41	Serbia	2015382		16068.0		1992675.0		6639.0	8.0	232429.0	1853.0	9656839.0	1113697.0	8670976.0	Europe,,
42	Bangladesh	1953264		29130.0		1901157.0		22977.0	1259.0	11641.0	174.0	14090035.0	83976.0	167785477.0	Asia,,
43	Hungary	1914697		46446.0		1830803.0		37448.0	21.0	199156.0	4831.0	11394556.0	1185195.0	9614073.0	Europe,,
44	Slovakia	1788490		20081.0		1765105.0		3304.0	30.0	327285.0	3675.0	7138024.0	1306222.0	5464632.0	Europe,,
45	Jordan	1694216		14048.0		1678941.0		1227.0	124.0	162995.0	1352.0	16670254.0	1603793.0	10394269.0	Asia,,
46	Georgia	1655221		16811.0		1637293.0		1117.0		416437.0	4229.0	16920079.0	4256924.0	3974720.0	Asia,,
47	Ireland	1551835		7244.0		1525470.0		19121.0	28.0	307790.0	1437.0	12193391.0	2418429.0	5041865.0	Europe,,
48	Pakistan	1529896	62.0	30379.0		1496123.0		3394.0	78.0	6681.0	133.0	28475032.0	124354.0	228984435.0	Asia,,
49	Norway	1431697		3094.0					20.0	260250.0	562.0	11002430.0	1999994.0	5501232.0	Europe,,
50	Taiwan	1386640		1436.0		172535.0		1212669.0		58023.0	60.0	17249430.0	721790.0	23898113.0	Asia,,
51	Kazakhstan	1305697		13661.0		1291885.0		151.0	24.0	68003.0	711.0	11575012.0	602849.0	19200508.0	Asia,,
52	Singapore	1272386		1377.0		1193116.0		77893.0	6.0	214309.0	232.0	23877882.0	4021766.0	5937164.0	Asia,,
53	Hong Kong	1210586		9370.0					5.0	159042.0	1231.0	44972952.0	5908356.0	7611754.0	Asia,,
54	Morocco	1166716		16075.0		1149656.0		985.0	293.0	30918.0	426.0	11237010.0	297779.0	37736092.0	Africa,,
55	Bulgaria	1163706		37106.0		1044355.0		82245.0	41.0	169890.0	5417.0	9971266.0	1455706.0	6849781.0	Europe,,
56	Croatia	1134269		15968.0		1115682.0		2619.0	5.0	279548.0	3935.0	4859993.0	1197777.0	4057511.0	Europe,,
57	New Zealand	1113828	8511.0	1031.0	14.0	1059714.0	9931.0	53083.0		222672.0	206.0	7161742.0	1431747.0	5002100.0	Australia/Oceania,,
58	Cuba	1105016		8529.0		1096163.0		324.0	23.0	97672.0	754.0	12920253.0	1142014.0	11313572.0	North America,,
59	Lebanon	1098640		10418.0		1085901.0		2321.0	186.0	162334.0	1539.0	4795578.0	708589.0	6767784.0	Asia,,
60	Finland	1081225		4406.0					21.0	194571.0	793.0	10873312.0	1956701.0	5556961.0	Europe,,
61	Lithuania	1061549		9134.0		1035276.0		17139.0	11.0	400485.0	3446.0	9967630.0	3760432.0	2650661.0	Europe,,
62	Tunisia	1041789		28628.0					29.0	86441.0	2375.0	4607327.0	382288.0	12051975.0	Africa,,
63	Slovenia	1022600		6630.0		1009441.0		6529.0	7.0	491758.0	3188.0	2662274.0	1280261.0	2079477.0	Europe,,
64	Belarus	982867		6978.0						104079.0	739.0	13220483.0	1399962.0	9443459.0	Europe,,
65	Nepal	979076		11952.0		966991.0		133.0		32500.0	397.0	5687735.0	188801.0	30125552.0	Asia,,
66	Bolivia	907307		21945.0		866011.0		19351.0	220.0	75776.0	1833.0	2705422.0	225951.0	11973471.0	South America,,
67	UAE	905151		2302.0		888939.0		13910.0		89478.0	228.0	160728161.0	15888685.0	10115888.0	Asia,,
68	Uruguay	902540		7213.0		892434.0		2893.0	18.0	258131.0	2063.0	6114822.0	1748868.0	3496446.0	South America,,
69	Costa Rica	877533		8472.0		848035.0		21026.0	38.0	169346.0	1635.0	4487906.0	866074.0	5181896.0	North America,,
70	Ecuador	874719		35617.0					759.0	48198.0	1963.0	2470170.0	136108.0	18148554.0	South America,,
71	Guatemala	856576		17969.0		836034.0		2573.0	5.0	46199.0	969.0	4608728.0	248572.0	18540831.0	North America,,
72	Panama	832045		8229.0		797202.0		26614.0	16.0	187274.0	1852.0	6140979.0	1382193.0	4442924.0	North America,,
73	Latvia	827201		5815.0		818845.0		2541.0	7.0	447894.0	3149.0	7241076.0	3920733.0	1846868.0	Europe,,
74	Azerbaijan	792714		9710.0		782957.0		47.0		76876.0	942.0	6874348.0	666660.0	10311628.0	Asia,,
75	Saudi Arabia	763692		9131.0		748030.0		6531.0	73.0	21310.0	255.0	42358052.0	1181969.0	35836864.0	Asia,,
76	Sri Lanka	663765		16512.0		646939.0		314.0		30755.0	765.0	6486117.0	300524.0	21582665.0	Asia,,
77	Paraguay	650283		18885.0		624673.0		6725.0	4.0	89106.0	2588.0	2633737.0	360892.0	7297859.0	South America,,
78	Kuwait	632781		2555.0		629695.0		531.0	4.0	144150.0	582.0	8098920.0	1844966.0	4389740.0	Asia,,
79	Myanmar	613227		19434.0		592189.0		1604.0		11130.0	353.0	8147519.0	147873.0	55098088.0	Asia,,
80	Palestine	582363		5356.0		576879.0		128.0	17.0	109361.0	1006.0	3078533.0	578115.0	5325126.0	Asia,,
81	Bahrain	581866		1483.0		576076.0		4307.0	5.0	320920.0	818.0	9819506.0	5415803.0	1813121.0	Asia,,
82	Dominican Republic	581464		4377.0		576408.0		679.0	1.0	52606.0	396.0	3324187.0	300745.0	11053183.0	North America,,
83	Estonia	575046		2561.0		516588.0		55897.0	4.0	432945.0	1928.0	3357306.0	2527677.0	1328218.0	Europe,,
84	Venezuela	523377		5716.0		516556.0		1105.0	230.0	18504.0	202.0	3359014.0	118760.0	28283936.0	South America,,
85	Moldova	517753		11503.0		504142.0		2108.0	49.0	128914.0	2864.0	3216305.0	800818.0	4016275.0	Europe,,
86	Egypt	515645		24613.0		442182.0		48850.0	122.0	4866.0	232.0	3693367.0	34851.0	105975920.0	Africa,,
87	Libya	501904		6430.0		490973.0		4501.0	101.0	71216.0	912.0	2477219.0	351498.0	7047599.0	Africa,,
88	Cyprus	477711		1032.0		124370.0		352309.0	60.0	390305.0	843.0	9477138.0	7743114.0	1223944.0	Asia,,
89	Ethiopia	471423		7512.0		455815.0		8096.0	10.0	3918.0	62.0	4871615.0	40484.0	120335347.0	Africa,,
90	Mongolia	469885		2179.0		313256.0		154450.0	192.0	139106.0	645.0	4030048.0	1193063.0	3377900.0	Asia,,
91	Honduras	424859		10896.0		132401.0		281562.0	105.0	41645.0	1068.0	1372779.0	134562.0	10201836.0	North America,,
92	Armenia	422939		8624.0		412240.0		2075.0		142227.0	2900.0	3089295.0	1038875.0	2973693.0	Asia,,
93	RÃÂÃÂ©union	411363		770.0		403795.0		6798.0	10.0	453358.0	849.0	1603660.0	1767374.0	907369.0	Africa,,
94	Oman	389473		4260.0		384669.0		544.0	2.0	72777.0	796.0	25000000.0	4671488.0	5351614.0	Asia,,
95	Bosnia and Herzegovina	377745		15785.0						116504.0	4868.0	1772985.0	546825.0	3242324.0	Europe,,
96	Qatar	367272		677.0		365538.0		1057.0		130804.0	241.0	3514885.0	1251827.0	2807805.0	Asia,,
97	Kenya	324274		5651.0		318324.0		299.0		5790.0	101.0	3650765.0	65186.0	56005746.0	Africa,,
98	Zambia	321195		3985.0		316628.0		582.0		16595.0	206.0	3468197.0	179188.0	19355090.0	Africa,,
99	North Macedonia	311350		9297.0		301545.0		508.0		149457.0	4463.0	2042804.0	980603.0	2083213.0	Europe,,
100	Botswana	306614		2692.0		303619.0		303.0	1.0	125599.0	1103.0	2026898.0	830285.0	2441207.0	Africa,,
101	Albania	275881		3497.0		272162.0		222.0	2.0	96063.0	1218.0	1823510.0	634956.0	2871868.0	Europe,,
102	Algeria	265855		6875.0		178386.0		80594.0	6.0	5863.0	152.0	230861.0	5091.0	45345014.0	Africa,,
103	Nigeria	255937		3143.0		249996.0		2798.0	11.0	1186.0	15.0	5152011.0	23877.0	215777439.0	Africa,,
104	Zimbabwe	250702		5495.0		243093.0		2114.0	12.0	16417.0	360.0	2309583.0	151238.0	15271171.0	Africa,,
105	Luxembourg	244182		1073.0		235939.0		7170.0		378463.0	1663.0	4248188.0	6584368.0	645193.0	Europe,,
106	Uzbekistan	238940		1637.0		237161.0		142.0	23.0	6949.0	48.0	1377915.0	40074.0	34384448.0	Asia,,
107	Montenegro	236762		2719.0		233404.0		639.0	6.0	376880.0	4328.0	2470598.0	3932721.0	628216.0	Europe,,
108	Mozambique	225586		2203.0		223303.0		80.0	13.0	6855.0	67.0	1323460.0	40218.0	32907142.0	Africa,,
