Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	83066907	+24751	1020833	+115	80684899	+29374	1361175	1576	248299	3051	1005438148	3005403	334543517	North America
India	43079188	+3324	523843	+40	42536253	+2876	19092	698	30667	373	837442023	596148	1404754469	Asia
Brazil	30448236	+15194	663551	+67	29519204	+11647	265481	8318	141412	3082	63776166	296198	215315795	South America
France	28645285	+49482	145930	+61	26801506	+107496	1697849	1677	437086	2227	266484045	4066162	65536993	Europe
Germany	24761600	+57003	135900	+106	22307900	+80300	2317800	1446	293827	1613	122332384	1451626	84272659	Europe
UK	22038340	N/A	174912	N/A	21168267	N/A	695161	302	321556	2552	517337635	7548346	68536553	Europe
Russia	18182354	+7363	375884	+157	17539985	+11022	266485	2300	124495	2574	273400000	1871979	146048611	Europe
S. Korea	17237878	+43262	22794	+70	N/A	N/A	N/A	490	335696	444	15804065	307773	51349673	Asia
Italy	16463200	+53602	163507	+130	15070314	+71625	1229379	366	273023	2712	213773683	3545189	60299653	Europe
Turkey	15032093	+1772	98771	+11	14927975	N/A	5347	975	174803	1149	159024414	1849238	85994556	Asia
Spain	11896152	N/A	104456	N/A	11389694	N/A	402002	339	254257	2233	471036328	10067500	46787813	Europe
Vietnam	10649809	+5109	43041	+3	9262255	+16727	1344513	475	107643	435	85798077	867206	98936255	Asia
Argentina	9072230	N/A	128542	N/A	8895999	N/A	47689	372	197427	2797	35716069	777242	45952326	South America
Netherlands	8047132	N/A	22243	N/A	7811564	N/A	213325	66	467747	1293	21107399	1226887	17204034	Europe
Japan	7850252	+36403	29548	+42	7402570	+46281	418134	171	62417	235	48679214	387049	125770233	Asia
Iran	7221653	+532	141083	+11	6983502	+3019	97068	996	84018	1641	50914586	592347	85953973	Asia
Colombia	6092667	+264	139797	+4	5926476	+460	26394	342	117455	2695	34465052	664422	51872217	South America
Indonesia	6046796	+329	156257	+17	5882660	+598	7879	2771	21689	560	95495775	342525	278799748	Asia
Poland	5996514	+842	116059	+17	5334680	+61	545775	1321	158760	3073	36092285	955555	37770999	Europe
Australia	5928306	+39258	7223	+34	5591247	+37502	329836	139	227665	277	69334180	2662645	26039586	Australia/Oceania
Mexico	5738769	+958	324294	+40	5038150	+677	376325	4798	43673	2468	15801675	120253	131403824	North America
Ukraine	5001719	N/A	108391	N/A	N/A	N/A	N/A	177	115635	2506	19521252	451311	43254550	Europe
Malaysia	4448004	+2107	35547	+5	4366951	+6890	45506	69	134290	1073	58730151	1773124	33122422	Asia
Thailand	4250949	+12888	28529	+126	4070856	+17105	151564	1496	60624	407	17270775	246305	70119486	Asia
Austria	4140543	+5199	18156	+18	4042540	+7931	79847	87	454998	1995	183002443	20109840	9100144	Europe
Israel	4076111	+1992	10695	N/A	4042243	+3850	23173	220	437070	1147	41373364	4436346	9326000	Asia
Belgium	4056448	N/A	31439	N/A	3788323	N/A	236686	150	347250	2691	33531891	2870479	11681636	Europe
Czechia	3905101	+1436	40155	+8	3845118	+97	19828	29	363427	3737	55199677	5137136	10745223	Europe
Portugal	3853800	N/A	22280	N/A	N/A	N/A	N/A	61	379966	2197	41278379	4069851	10142478	Europe
South Africa	3791925	+6527	100363	+3	3648831	+2590	42731	192	62498	1654	24475485	403402	60672691	Africa
Canada	3749083	+2799	39243	+13	3454966	+3158	254874	468	97770	1023	60871310	1587430	38345820	North America
Philippines	3685643	+240	60341	+36	3618137	+1428	7165	289	32837	538	29565513	263410	112241473	Asia
