"Country,Other"	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	"Serious,Critical"	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	83953371	N/A	1025764	N/A	81107296	N/A	1820311	1794	250905	3066	1014741268	3032684	334601743	North America
India	43113413	N/A	524181	N/A	42570165	N/A	19067	698	30682	373	842458167	599545	1405161912	Asia
Brazil	30617786	N/A	664564	N/A	29697931	N/A	255291	8318	142170	3086	63776166	296136	215361137	South America
France	29061523	N/A	147075	N/A	28017331	88293	897117	1329	443408	2244	271490188	4142275	65541322	Europe
Germany	25583258	N/A	137449	N/A	23804600	127900	1641209	1279	303548	1631	122332384	1451488	84280690	Europe
UK	22145157	N/A	176424	N/A	21616575	N/A	352158	253	323064	2574	519264096	7575273	68547249	Europe
Russia	18245394	4065	377359	111	17626344	6930	241691	2300	124925	2584	273400000	1871955	146050485	Europe
S. Korea	17694677	35883	23554	63	N/A	N/A	N/A	354	344583	459	15804065	307766	51350995	Asia
Italy	16915301	N/A	164846	N/A	15709259	N/A	1041196	338	280533	2734	216861042	3596548	60296991	Europe
Turkey	15048449	N/A	98870	N/A	14946104	N/A	3475	975	174938	1149	160225407	1862614	86021816	Asia
Spain	12058888	N/A	105123	N/A	11522364	N/A	431401	339	257733	2247	471036328	10067384	46788355	Europe
Vietnam	10683972	N/A	43060	N/A	9327523	N/A	1313389	365	107960	435	85806532	867061	98962550	Asia
Argentina	9101319	N/A	128729	N/A	8895999	N/A	76591	372	198006	2801	35716069	777031	45964778	South America
Japan	8217978	45740	29935	41	7864759	50703	323284	159	65347	238	50031352	397836	125758647	Asia
Netherlands	8064424	N/A	22287	N/A	7973252	N/A	68885	57	468721	1295	21107399	1226806	17205170	Europe
Iran	7227043	371	141201	3	7014783	2013	71059	782	84049	1642	51622353	600356	85986283	Asia
Australia	6449224	57314	7668	55	6033554	N/A	408002	120	247585	294	70326002	2699813	26048475	Australia/Oceania
Colombia	6093645	N/A	139809	N/A	5927076	N/A	26760	342	117437	2694	34560302	666049	51888507	South America
Indonesia	6049876	335	156438	14	5888571	785	4867	2771	21693	561	96968564	347699	278886623	Asia
Poland	6002394	500	116175	11	5335046	45	551173	981	158921	3076	36198061	958387	37769758	Europe
Mexico	5745652	N/A	324465	N/A	5044893	N/A	376294	4798	43712	2468	15855490	120625	131444511	North America
Ukraine	5006460	N/A	108449	N/A	N/A	N/A	N/A	177	115765	2508	19521252	451393	43246695	Europe
Malaysia	4467061	N/A	35598	N/A	4406613	N/A	24850	59	134814	1074	59086179	1783202	33134885	Asia
Thailand	4353237	8019	29314	59	4246499	8807	77424	1496	62078	418	17270775	246286	70124735	Asia
Austria	4200825	5134	18291	12	4119090	6097	63444	70	461544	2010	184765500	20300142	9101685	Europe
Belgium	4102082	N/A	31580	N/A	3912251	8540	158251	122	351111	2703	33779532	2891304	11683149	Europe
Israel	4099293	N/A	10749	N/A	4052605	N/A	35939	150	439555	1153	41373364	4436346	9326000	Asia
Portugal	3935932	N/A	22420	N/A	N/A	N/A	N/A	61	388098	2211	41697794	4111564	10141589	Europe
Czechia	3914707	592	40237	2	3867251	516	7219	13	364301	3744	55304968	5146650	10745818	Europe
South Africa	3862165	N/A	100609	N/A	3691684	N/A	69872	192	63632	1658	24765642	408033	60695163	Africa
Canada	3802456	N/A	39906	N/A	3492607	N/A	269943	423	99137	1040	61306765	1598372	38355755	North America
Philippines	3687567	139	60452	13	3623938	277	3177	289	32841	538	29785678	265268	112285313	Asia
Switzerland	3631881	N/A	13882	N/A	3533050	2617	84949	78	414032	1583	20927607	2385733	8771982	Europe
Chile	3586522	N/A	57667	N/A	3456624	N/A	72231	173	184677	2969	37466692	1929237	19420468	South America
Peru	3570801	N/A	212979	N/A	N/A	N/A	N/A	254	105572	6297	30134364	890931	33823445	South America
Greece	3375812	N/A	29471	N/A	3287981	N/A	58360	185	326839	2853	80897630	7832338	10328670	Europe
Denmark	2975108	691	6271	11	2958077	992	10760	6	510308	1076	127324433	21839439	5830023	Europe
Romania	2901682	602	65595	6	N/A	N/A	N/A	151	152722	3452	22910784	1205844	18999797	Europe
Sweden	2504894	N/A	18864	N/A	2476511	1240	9519	9	245192	1847	18553837	1816149	10216034	Europe
Iraq	2326033	N/A	25215	N/A	2299572	N/A	1246	14	55520	602	18512761	441879	41895563	Asia
Serbia	2011399	N/A	16040	N/A	1985107	N/A	10252	18	231938	1850	9570938	1103644	8672125	Europe
Bangladesh	1952939	51	29127	N/A	1898603	291	25209	1273	11643	174	14039668	83703	167731723	Asia
Hungary	1909948	N/A	46343	N/A	1821435	N/A	42170	29	198645	4820	11394556	1185097	9614873	Europe
Slovakia	1786328	350	20011	9	1759094	1117	7223	30	326894	3662	7122263	1303359	5464545	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163047	1352	16670254	1604305	10390950	Asia
Georgia	1655221	N/A	16811	N/A	1637293	N/A	1117	N/A	416411	4229	16920079	4256656	3974970	Asia
Pakistan	1528987	90	30376	N/A	1494141	N/A	4470	104	6681	133	28298660	123659	228843575	Asia
Ireland	1524555	N/A	7163	N/A	1487651	1748	29741	28	302488	1421	12138572	2408420	5040057	Europe
Norway	1429064	N/A	3061	N/A	N/A	N/A	N/A	20	259837	557	11002430	2000499	5499844	Europe
Kazakhstan	1305620	13	13661	N/A	1291388	12	571	24	68025	712	11575012	603080	19193146	Asia
Singapore	1228914	N/A	1358	N/A	1155970	N/A	71586	6	207039	229	23767171	4004134	5935658	Asia
Hong Kong	1207371	N/A	9355	N/A	N/A	N/A	N/A	5	158661	1229	44972952	5909903	7609762	Asia
Morocco	1165455	N/A	16071	N/A	1148928	N/A	456	293	30896	426	11237010	297892	37721752	Africa
Bulgaria	1160706	N/A	37019	N/A	999645	N/A	124042	67	169409	5403	9909423	1446317	6851486	Europe
Croatia	1129199	N/A	15905	N/A	1108536	N/A	4758	17	278242	3919	4824073	1188683	4058336	Europe
Cuba	1104206	N/A	8529	N/A	1095154	N/A	523	23	97598	754	12920253	1141991	11313798	North America
Lebanon	1097720	N/A	10403	N/A	1084400	N/A	2917	186	162174	1537	4795578	708485	6768781	Asia
Finland	1069740	16973	4284	134	N/A	N/A	N/A	21	192514	771	10832080	1949380	5556679	Europe
Lithuania	1060277	205	9127	2	1031608	673	19542	12	399818	3442	9953263	3753262	2651897	Europe
Tunisia	1041197	N/A	28575	N/A	N/A	N/A	N/A	29	86421	2372	4592916	381221	12047923	Africa
New Zealand	1023205	9484	863	8	969079	8695	53263	N/A	204555	173	7119836	1423369	5002100	Australia/Oceania
Slovenia	1018298	604	6617	1	1001298	293	10383	15	489692	3182	2655353	1276939	2079468	Europe
Belarus	982867	N/A	6978	N/A	N/A	N/A	N/A	N/A	104078	739	13220483	1399947	9443560	Europe
Nepal	978982	4	11952	N/A	966857	18	173	N/A	32515	397	5664774	188146	30108348	Asia
Bolivia	905820	165	21926	N/A	863013	328	20881	220	75685	1832	2705422	226050	11968249	South America
UAE	901440	364	2302	N/A	885287	252	13851	N/A	89146	228	158453134	15669856	10111971	Asia
Uruguay	899723	N/A	7210	N/A	888557	N/A	3956	18	257354	2062	6091188	1742305	3496052	South America
Ecuador	871046	N/A	35602	N/A	N/A	N/A	N/A	759	48019	1963	2470170	136174	18139765	South America
Costa Rica	866164	N/A	8444	N/A	841683	N/A	16037	48	167201	1630	4401922	849731	5180372	North America
Guatemala	850255	N/A	17719	N/A	830386	N/A	2150	5	45885	956	4516595	243746	18529950	North America
Latvia	825470	198	5796	2	815843	519	3831	9	446792	3137	7214910	3905129	1847547	Europe
Panama	796461	N/A	8199	N/A	769618	N/A	18644	16	179355	1846	5975743	1345677	4440696	North America
Azerbaijan	792638	N/A	9709	N/A	782869	N/A	60	N/A	76891	942	6838458	663372	10308634	Asia
Saudi Arabia	757802	611	9110	2	743099	172	5593	56	21156	254	42072272	1174577	35819075	Asia
Sri Lanka	663614	N/A	16510	N/A	646151	N/A	953	N/A	30752	765	6486117	300565	21579728	Asia
Paraguay	649718	N/A	18872	N/A	624673	N/A	6173	2	89064	2587	2633737	361034	7294987	South America
Kuwait	632074	N/A	2555	N/A	629114	N/A	405	3	144057	582	8071763	1839647	4387669	Asia
Myanmar	613082	N/A	19434	N/A	592001	N/A	1647	N/A	11130	353	8049855	146132	55086148	Asia
Palestine	582119	N/A	5353	N/A	576684	N/A	82	17	109396	1006	3078533	578538	5321228	Asia
Dominican Republic	580020	N/A	4376	N/A	575175	N/A	469	1	52492	396	3296116	298301	11049619	North America
Bahrain	575129	N/A	1479	N/A	568141	N/A	5509	3	317545	817	9766940	5392611	1811171	Asia
Estonia	573922	N/A	2556	N/A	514836	N/A	56530	3	432109	1924	3345340	2518723	1328189	Europe
Taiwan	570870	65446	968	17	46143	6889	523759	N/A	23889	41	15820952	662056	23896703	Asia
Venezuela	522840	N/A	5710	N/A	516065	N/A	1065	230	18484	202	3359014	118749	28286566	South America
Moldova	516986	N/A	11489	N/A	504142	N/A	1355	49	128713	2860	3216305	800757	4016581	Europe
Egypt	515645	N/A	24613	N/A	442182	N/A	48850	122	4869	232	3693367	34872	105912541	Africa
Libya	501904	N/A	6430	N/A	490973	N/A	4501	101	71247	913	2477219	351651	7044535	Africa
Cyprus	477711	N/A	1032	N/A	124370	N/A	352309	60	390396	843	9477138	7744936	1223656	Asia
Ethiopia	470833	N/A	7510	N/A	455746	N/A	7577	4	3916	62	4823795	40117	120241699	Africa
Mongolia	469885	N/A	2179	N/A	313256	N/A	154450	192	139177	645	4030048	1193675	3376168	Asia
Honduras	424376	N/A	10896	N/A	132358	N/A	281122	105	41619	1069	1364273	133796	10196667	North America
Armenia	422896	N/A	8623	N/A	412048	N/A	2225	N/A	142221	2900	3068217	1031850	2973512	Asia
RÃÂÃÂ©union	405980	N/A	762	N/A	395430	N/A	9788	10	447529	840	1603660	1767781	907160	Africa
Oman	389370	26	4259	N/A	384543	18	568	3	72816	796	25000000	4675220	5347342	Asia
Bosnia and Herzegovina	377432	N/A	15775	N/A	N/A	N/A	N/A	N/A	116384	4864	1765936	544540	3242989	Europe
Qatar	365815	158	677	N/A	364125	66	1013	2	130285	241	3477744	1238599	2807805	Asia
Kenya	323939	N/A	5649	N/A	318110	N/A	180	N/A	5788	101	3623557	64745	55966822	Africa
Zambia	320303	N/A	3983	N/A	315792	N/A	528	1	16563	206	3446017	178198	19338144	Africa
North Macedonia	310506	N/A	9287	N/A	300617	N/A	602	N/A	149051	4458	2033385	976080	2083215	Europe
Botswana	306324	N/A	2690	N/A	303026	N/A	608	1	125561	1103	2026898	830816	2439647	Africa
Albania	275440	N/A	3497	N/A	271757	N/A	186	2	95906	1218	1814993	631968	2871971	Europe
Algeria	265806	N/A	6875	N/A	178368	N/A	80563	6	5865	152	230861	5094	45319019	Africa
Nigeria	255802	N/A	3143	N/A	249936	N/A	2723	11	1186	15	5114703	23722	215609418	Africa
Zimbabwe	248642	N/A	5481	N/A	242198	N/A	963	12	16289	359	2278641	149281	15264075	Africa
Luxembourg	242700	N/A	1071	N/A	234548	N/A	7081	N/A	376361	1661	4243873	6581087	644859	Europe
Uzbekistan	238747	N/A	1637	N/A	236862	N/A	248	23	6947	48	1377915	40092	34368538	Asia
Montenegro	236006	N/A	2718	N/A	232645	N/A	643	6	375678	4327	2462510	3919865	628213	Europe
Mozambique	225451	N/A	2201	N/A	223186	N/A	64	13	6857	67	1318072	40089	32878321	Africa
China	220958	237	5203	5	208526	571	7229	444	154	4	160000000	111163	1439323776	Asia
Laos	209243	94	752	N/A	N/A	N/A	N/A	N/A	28006	101	1232128	164915	7471304	Asia
Kyrgyzstan	200993	N/A	2991	N/A	196406	N/A	1596	131	29893	445	1907195	283650	6723755	Asia
Iceland	186179	N/A	120	N/A	N/A	N/A	N/A	N/A	539102	347	2264004	6555680	345350	Europe
Maldives	179483	N/A	298	N/A	163687	N/A	15498	25	321542	534	2213831	3966060	558194	Asia
Afghanistan	179169	32	7686	N/A	162132	55	9351	1124	4418	190	949547	23415	40553432	Asia
Uganda	164069	N/A	3596	N/A	100205	N/A	60268	2	3389	74	2612795	53963	48417925	Africa
El Salvador	162089	N/A	4129	N/A	150662	N/A	7298	8	24758	631	1950448	297920	6546890	North America
Ghana	161271	N/A	1445	N/A	159774	N/A	52	1	4997	45	2441751	75654	32275290	Africa
Namibia	159503	N/A	4028	N/A	153662	N/A	1813	N/A	60735	1534	1015142	386542	2626212	Africa
Martinique	153253	N/A	926	N/A	104	N/A	152223	8	408975	2471	828928	2212097	374725	North America
Trinidad and Tobago	152964	N/A	3863	N/A	140228	N/A	8873	18	108648	2744	722629	513271	1407891	North America
Brunei	143866	250	219	N/A	142173	112	1474	2	323116	492	717784	1612107	445246	Asia
Guadeloupe	140130	N/A	854	N/A	2250	N/A	137026	19	350105	2134	938039	2343627	400251	North America
Cambodia	136262	N/A	3056	N/A	133186	2	20	N/A	7946	178	2959358	172578	17147970	Asia
Jamaica	131544	N/A	2987	N/A	84709	N/A	43848	N/A	44066	1001	1026089	343733	2985133	North America
Rwanda	129874	N/A	1459	N/A	45522	N/A	82893	N/A	9587	108	5322748	392901	13547316	Africa
Cameroon	119780	N/A	1927	N/A	117791	N/A	62	13	4313	69	1751774	63080	27770620	Africa
Angola	99194	N/A	1900	N/A	97149	N/A	145	N/A	2854	55	1499795	43146	34760858	Africa
Malta	93249	100	713	N/A	89625	161	2911	4	210151	1607	1901338	4284966	443723	Europe
