Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	82383494	+26881	1015821	+109	80244093	+41383	1123580	1438	246299	3037	996639125	2979620	334485290	North America
India	43045527	+1247	521996	+31	42511701	+928	11830	698	30652	372	832104846	592521	1404347026	Asia
Brazil	30261088	+8470	662076	+65	29262483	+35432	336529	8318	140572	3076	63776166	296261	215270453	South America
France	27790834	+19810	144205	+48	25132351	+217445	2514278	1541	424076	2201	260504402	3975184	65532665	Europe
Germany	23457596	+19303	133437	+8	20085800	+205500	3238359	1980	278380	1584	122332384	1451764	84264628	Europe
UK	21845098	+18846	171781	+97	20306336	+109212	1366981	355	318786	2507	512140269	7473679	68525857	Europe
Russia	18084151	+9434	373713	+213	17390465	+14324	319973	2300	123824	2559	273400000	1872003	146046737	Europe
S. Korea	16353495	+47743	21224	+132	N/A	N/A	N/A	850	318481	413	15804065	307781	51348351	Asia
Italy	15730788	+18492	161766	+79	14352067	+27704	1216955	411	260865	2683	209276026	3470448	60302314	Europe
Turkey	14999479	+4542	98587	+19	14763876	+15624	137016	975	174479	1147	157348707	1830332	85967295	Asia
Spain	11726222	+10668	103656	+65	11206990	+14381	415576	368	250628	2215	471036328	10067617	46787271	Europe
Vietnam	10475819	+12012	42957	+13	8941064	+4218	1491798	1008	105913	434	85703689	866482	98909959	Asia
Argentina	9060923	N/A	128344	N/A	8895999	N/A	36580	412	197234	2794	35716069	777452	45939873	South America
Netherlands	8023984	+2075	22163	+7	7412962	+54216	588859	113	466432	1288	21107399	1226968	17202898	Europe
Japan	7374251	+39899	29023	+31	6829906	+44328	515322	222	58627	231	45700624	363333	125781818	Asia
Iran	7208968	+2009	140854	+25	6948946	+3102	119168	1307	83902	1639	50079995	582856	85921663	Asia
Colombia	6089791	+129	139751	+2	5923287	+220	26753	342	117437	2695	34265772	660788	51855927	South America
Indonesia	6040432	+559	155903	+37	5833560	+7831	50969	2771	21673	559	94216598	338042	278712873	Asia
Poland	5985514	+263	115838	N/A	5334113	+22	535563	268	158463	3067	35948483	951717	37772240	Europe
Mexico	5727668	+1000	323944	+6	5028436	+683	375288	4798	43602	2466	15714867	119629	131363136	North America
Australia	5419380	+34270	6786	+9	5017584	+48476	395010	138	208192	261	68335670	2625196	26030697	Australia/Oceania
Ukraine	4993164	+304	108256	+3	N/A	N/A	N/A	177	115416	2502	19521252	451229	43262405	Europe
Malaysia	4396165	+7140	35437	+16	4264127	+14423	96601	110	132775	1070	57994524	1751573	33109959	Asia
Austria	4059444	+6227	16431	+11	3918429	+14139	124584	154	446161	1806	180657934	19855571	9098602	Europe
