Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop 	Population	Continent
USA	83567707	+31143	1024525	+87	80930086	+19355	1613096	1713	249765	3062	1011322441	3022610	334585863	North America
India	43102508	+3765	524064	+40	42557495	+3079	20949	698	30677	373	840693082	598336	1405050791	Asia
Brazil	30558530	+14622	664179	+36	29617164	+4342	277187	8318	141903	3084	63776166	296153	215348771	South America
France	28928097	+37958	146670	+62	27624416	+86540	1157011	1408	441380	2238	269816888	4116819	65540141	Europe
Germany	25337996	+48406	136914	+102	23206000	+70500	1995082	1279	300646	1625	122332384	1451525	84278500	Europe
UK	22114034	N/A	176212	N/A	21456172	N/A	481650	253	322624	2571	519264096	7575595	68544332	Europe
Russia	18222219	+5500	376828	+132	17596716	+8649	248675	2300	124767	2580	273400000	1871962	146049974	Europe
S. Korea	17504334	+39552	23289	+83	N/A	N/A	N/A	419	340879	454	15804065	307768	51350635	Asia
Italy	16768194	+40943	164417	+113	15471992	+55691	1131785	355	278090	2727	215865197	3579990	60297717	Europe
Turkey	15041899	+1661	98837	+11	14939893	+1843	3169	975	174877	1149	159752683	1857279	86014381	Asia
Spain	12009059	N/A	104869	N/A	11467015	N/A	437175	339	256669	2241	471036328	10067416	46788207	Europe
Vietnam	10673915	+3345	43055	N/A	9318525	+2288	1312335	473	107866	435	85805012	867108	98955379	Asia
Argentina	9083673	N/A	128653	N/A	8895999	N/A	59021	372	197637	2799	35716069	777089	45961382	South America
Netherlands	8059182	+1482	22274	+4	7925872	N/A	111036	52	468425	1295	21107399	1226828	17204861	Europe
Japan	8023895	+23615	29761	+35	7678842	+48533	315292	165	63802	237	49380167	392648	125761807	Asia
Iran	7224701	+270	141165	+8	7002258	+2549	81278	916	84030	1642	50914586	592185	85977471	Asia
Australia	6213812	+44953	7495	+41	5874822	+40147	331495	131	238570	288	69899724	2683698	26046051	Australia/Oceania
Colombia	6093645	N/A	139809	N/A	5927076	N/A	26760	342	117447	2695	34560302	666106	51884064	South America
Indonesia	6048204	+218	156371	+14	5885406	+307	6427	2771	21689	561	96169440	344863	278862930	Asia
Poland	6000217	+704	116138	+14	5334901	+52	549178	1125	158862	3075	36155458	957251	37770097	Europe
Mexico	5740080	N/A	324350	N/A	5039624	N/A	376106	4798	43673	2468	15801675	120226	131433414	North America
Ukraine	5002870	N/A	108411	N/A	N/A	N/A	N/A	177	115676	2507	19521252	451371	43248837	Europe
Malaysia	4456736	+1372	35579	+3	4397881	+6791	23276	86	134517	1074	58902021	1777826	33131486	Asia
Thailand	4316769	+8450	29037	+58	4193895	+12224	93837	1496	61560	414	17270775	246292	70123303	Asia
Austria	4177928	+5168	18242	+14	4090144	+5981	69542	78	459049	2004	184069396	20224595	9101265	Europe
Israel	4090380	+2495	10741	N/A	4052605	N/A	27034	150	438600	1152	41373364	4436346	9326000	Asia
Belgium	4088336	N/A	31552	N/A	3884238	+23093	172546	124	349947	2701	33714218	2885815	11682736	Europe
Portugal	3935932	N/A	22420	N/A	N/A	N/A	N/A	61	388089	2211	41541745	4096079	10141831	Europe
Czechia	3912123	+792	40216	+6	3861786	+1699	10121	22	364066	3743	55271340	5143598	10745656	Europe
South Africa	3835902	+8524	100516	+11	3676810	+3540	58576	192	63206	1656	24654271	406239	60689034	Africa
Canada	3789517	+2164	39740	+24	3479683	+2820	270094	468	98806	1036	61161915	1594708	38353046	North America
Philippines	3686866	+173	60439	N/A	3622124	+387	4303	289	32838	538	29696061	264498	112273356	Asia
Switzerland	3619035	N/A	13865	N/A	3507621	+6990	97549	69	412592	1581	20851897	2377242	8771464	Europe
Chile	3576139	+3322	57629	+15	3443056	+4415	75454	175	184156	2968	37312893	1921451	19419125	South America
Peru	3569326	+300	212933	+20	N/A	N/A	N/A	272	105540	6296	30039358	888221	33819679	South America
Greece	3358584	+4698	29369	+20	3256621	+8348	72594	210	325158	2843	80528322	7796268	10329086	Europe
Denmark	2971655	+846	6234	+8	2952814	+1206	12607	6	509730	1069	127282729	21832911	5829856	Europe
Romania	2898848	+590	65560	+6	2606660	N/A	226628	169	152564	3450	22827291	1201383	19000844	Europe
Sweden	2503090	N/A	18791	N/A	2472416	N/A	11883	16	245028	1839	18534055	1814304	10215519	Europe
Iraq	2325522	+55	25213	N/A	2298995	+129	1314	10	55517	602	18496907	441579	41888147	Asia
Serbia	2009677	+428	16024	+5	1981836	+983	11817	24	231732	1848	9537555	1099758	8672412	Europe
Bangladesh	1952776	+10	29127	N/A	1897263	+217	26386	1273	11643	174	14007248	83517	167718285	Asia
